Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI limit,Upper CI limit,Count,Denominator,Value note
E12000001,North East region,Region,Persons,60-74 yrs,,,2015,59.39369645,59.24125327,59.54595881,237064,399140,
E12000002,North West region,Region,Persons,60-74 yrs,,,2015,55.93229754,55.83786121,56.02669095,594100,1062177,
E12000003,Yorkshire and the Humber region,Region,Persons,60-74 yrs,,,2015,57.45445311,57.34383331,57.56499833,441187,767890,
E12000004,East Midlands region,Region,Persons,60-74 yrs,,,2015,57.79195075,57.67618982,57.90762613,404409,699767,
E12000005,West Midlands region,Region,Persons,60-74 yrs,,,2015,57.28527323,57.17928498,57.39119464,479641,837285,
E12000006,East of England region,Region,Persons,60-74 yrs,,,2015,58.98587606,58.88439004,59.08728563,532646,903006,
E12000007,London region,Region,Persons,60-74 yrs,,,2015,47.76424385,47.65825339,47.87025443,407429,853000,
E12000008,South East region,Region,Persons,60-74 yrs,,,2015,59.19234071,59.10779003,59.27683701,768799,1298815,
E12000009,South West region,Region,Persons,60-74 yrs,,,2015,60.34752459,60.24627967,60.44868094,541648,897548,
E07000004,Aylesbury Vale,LA,Persons,60-74 yrs,,,2015,56.91044314,56.30539137,57.51343864,14692,25816,
E07000005,Chiltern,LA,Persons,60-74 yrs,,,2015,59.80902206,59.02682674,60.58625571,9082,15185,
E07000006,South Bucks,LA,Persons,60-74 yrs,,,2015,56.19012864,55.25928423,57.1166357,6159,10961,
E07000007,Wycombe,LA,Persons,60-74 yrs,,,2015,56.53367725,55.9060137,57.15925277,13589,24037,
E07000008,Cambridge,LA,Persons,60-74 yrs,,,2015,56.37751129,55.51802135,57.23318693,7240,12842,
E07000009,East Cambridgeshire,LA,Persons,60-74 yrs,,,2015,61.82986767,60.99858196,62.65428296,8177,13225,
E07000010,Fenland,LA,Persons,60-74 yrs,,,2015,51.56230854,50.79534193,52.32853993,8416,16322,
E07000011,Huntingdonshire,LA,Persons,60-74 yrs,,,2015,56.1360462,55.53764994,56.73266315,14871,26491,
E07000012,South Cambridgeshire,LA,Persons,60-74 yrs,,,2015,64.04627837,63.42014931,64.6676609,14559,22732,
E07000026,Allerdale,LA,Persons,60-74 yrs,,,2015,64.23191052,63.51919508,64.93838774,11256,17524,
E07000027,Barrow-in-Furness,LA,Persons,60-74 yrs,,,2015,60.26868031,59.36665677,61.16377902,6864,11389,
E07000028,Carlisle,LA,Persons,60-74 yrs,,,2015,63.125,62.40942306,63.83484874,11110,17600,
E07000029,Copeland,LA,Persons,60-74 yrs,,,2015,60.12414024,59.24208726,60.99967102,7168,11922,
E07000030,Eden,LA,Persons,60-74 yrs,,,2015,66.4972138,65.57648191,67.40555942,6802,10229,
E07000031,South Lakeland,LA,Persons,60-74 yrs,,,2015,67.94326918,67.30793284,68.57202364,14228,20941,
E07000032,Amber Valley,LA,Persons,60-74 yrs,,,2015,63.49396436,62.83844715,64.14451635,13255,20876,
E07000033,Bolsover,LA,Persons,60-74 yrs,,,2015,59.80504587,58.93237073,60.6715523,7301,12208,
E07000034,Chesterfield,LA,Persons,60-74 yrs,,,2015,59.79107542,59.0421225,60.53548715,9902,16561,
E07000035,Derbyshire Dales,LA,Persons,60-74 yrs,,,2015,65.49511855,64.71299264,66.26894489,9392,14340,
E07000036,Erewash,LA,Persons,60-74 yrs,,,2015,62.39057046,61.66975923,63.10593598,10904,17477,
E07000037,High Peak,LA,Persons,60-74 yrs,,,2015,60.22401493,59.43822161,61.00457257,9033,14999,
E07000038,North East Derbyshire,LA,Persons,60-74 yrs,,,2015,64.34441639,63.65348373,65.02943059,11979,18617,
E07000039,South Derbyshire,LA,Persons,60-74 yrs,,,2015,61.94323737,61.15608731,62.72415882,9123,14728,
E07000040,East Devon,LA,Persons,60-74 yrs,,,2015,59.85132743,59.27840013,60.42157592,16908,28250,
E07000041,Exeter,LA,Persons,60-74 yrs,,,2015,55.78432634,55.00219387,56.56360014,8670,15542,
E07000042,Mid Devon,LA,Persons,60-74 yrs,,,2015,58.48342561,57.6727508,59.28953388,8345,14269,
E07000043,North Devon,LA,Persons,60-74 yrs,,,2015,57.28116407,56.54581803,58.01330615,9999,17456,
E07000044,South Hams,LA,Persons,60-74 yrs,,,2015,66.39085894,65.6927795,67.08185168,11795,17766,
E07000045,Teignbridge,LA,Persons,60-74 yrs,,,2015,64.17957635,63.58669652,64.76815156,16240,25304,
E07000046,Torridge,LA,Persons,60-74 yrs,,,2015,57.91053518,57.08047442,58.73614767,7910,13659,
E07000047,West Devon,LA,Persons,60-74 yrs,,,2015,61.7289469,60.82434491,62.62549582,6905,11186,
E07000048,Christchurch,LA,Persons,60-74 yrs,,,2015,65.94091792,64.99573695,66.87358487,6451,9783,
E07000049,East Dorset,LA,Persons,60-74 yrs,,,2015,67.98901927,67.31452166,68.65607907,12631,18578,
E07000050,North Dorset,LA,Persons,60-74 yrs,,,2015,65.45813107,64.64206456,66.26519204,8630,13184,
E07000051,Purbeck,LA,Persons,60-74 yrs,,,2015,67.79900152,66.83770573,68.74546213,6247,9214,
E07000052,West Dorset,LA,Persons,60-74 yrs,,,2015,65.11142377,64.47950446,65.73807464,14346,22033,
E07000053,Weymouth and Portland,LA,Persons,60-74 yrs,,,2015,63.92405063,63.07742978,64.76210359,7979,12482,
E07000061,Eastbourne,LA,Persons,60-74 yrs,,,2015,54.51761103,53.75278127,55.28031519,8900,16325,
E07000062,Hastings,LA,Persons,60-74 yrs,,,2015,51.83924692,51.00550158,52.67196932,7159,13810,
E07000063,Lewes,LA,Persons,60-74 yrs,,,2015,58.78303353,58.06239679,59.49992473,10588,18012,
E07000064,Rother,LA,Persons,60-74 yrs,,,2015,59.73296216,59.04093803,60.42113215,11587,19398,
E07000065,Wealden,LA,Persons,60-74 yrs,,,2015,60.6300291,60.06833354,61.18892861,17707,29205,
E07000066,Basildon,LA,Persons,60-74 yrs,,,2015,56.79993545,56.18225949,57.41550404,14079,24787,
E07000067,Braintree,LA,Persons,60-74 yrs,,,2015,58.52880304,57.89337167,59.16140949,13574,23192,
E07000068,Brentwood,LA,Persons,60-74 yrs,,,2015,60.57325406,59.66751757,61.47178443,6826,11269,
E07000069,Castle Point,LA,Persons,60-74 yrs,,,2015,59.83481724,59.09731104,60.56789848,10215,17072,
E07000070,Chelmsford,LA,Persons,60-74 yrs,,,2015,60.02437538,59.41091585,60.63470656,14775,24615,
E07000071,Colchester,LA,Persons,60-74 yrs,,,2015,59.18334732,58.57308481,59.79079133,14813,25029,
E07000072,Epping Forest,LA,Persons,60-74 yrs,,,2015,55.23264645,54.53821841,55.92503944,10909,19751,
E07000073,Harlow,LA,Persons,60-74 yrs,,,2015,53.14809341,52.17625355,54.11755103,5394,10149,
E07000074,Maldon,LA,Persons,60-74 yrs,,,2015,60.08605852,59.19244764,60.9730029,6982,11620,
E07000075,Rochford,LA,Persons,60-74 yrs,,,2015,61.85390566,61.06315863,62.63841947,9035,14607,
E07000076,Tendring,LA,Persons,60-74 yrs,,,2015,55.77995635,55.20630232,56.35207226,16102,28867,
E07000077,Uttlesford,LA,Persons,60-74 yrs,,,2015,62.6690364,61.8320461,63.49850746,8110,12941,
E07000078,Cheltenham,LA,Persons,60-74 yrs,,,2015,62.62397991,61.86973177,63.37214107,9976,15930,
E07000079,Cotswold,LA,Persons,60-74 yrs,,,2015,63.13137596,62.38254232,63.87393546,10149,16076,
E07000080,Forest of Dean,LA,Persons,60-74 yrs,,,2015,63.32432263,62.57228144,64.06992985,10073,15907,
E07000081,Gloucester,LA,Persons,60-74 yrs,,,2015,60.61583399,59.8663967,61.36030923,9961,16433,
E07000082,Stroud,LA,Persons,60-74 yrs,,,2015,65.77911666,65.12803261,66.42431145,13538,20581,
E07000083,Tewkesbury,LA,Persons,60-74 yrs,,,2015,65.13362337,64.35353599,65.90568371,9432,14481,
E07000084,Basingstoke and Deane,LA,Persons,60-74 yrs,,,2015,61.1962432,60.58152009,61.80742347,14856,24276,
E07000085,East Hampshire,LA,Persons,60-74 yrs,,,2015,64.81711251,64.15497077,65.47360549,13060,20149,
E07000086,Eastleigh,LA,Persons,60-74 yrs,,,2015,65.62301671,64.9429068,66.29677979,12408,18908,
E07000087,Fareham,LA,Persons,60-74 yrs,,,2015,68.21854961,67.55601039,68.87379288,13085,19181,
E07000088,Gosport,LA,Persons,60-74 yrs,,,2015,61.15622739,60.29632123,62.00924394,7606,12437,
E07000089,Hart,LA,Persons,60-74 yrs,,,2015,66.95801691,66.1731279,67.73357426,9346,13958,
E07000090,Havant,LA,Persons,60-74 yrs,,,2015,62.68399924,62.02640971,63.33693228,13116,20924,
E07000091,New Forest,LA,Persons,60-74 yrs,,,2015,66.81301955,66.3118347,67.31042386,22826,34164,
E07000092,Rushmoor,LA,Persons,60-74 yrs,,,2015,60.61468889,59.73504691,61.4875035,7238,11941,
E07000093,Test Valley,LA,Persons,60-74 yrs,,,2015,67.0294298,66.36753697,67.6846391,13119,19572,
E07000094,Winchester,LA,Persons,60-74 yrs,,,2015,67.04719248,66.36280843,67.72442422,12275,18308,
E07000095,Broxbourne,LA,Persons,60-74 yrs,,,2015,60.09713895,59.25819265,60.93019978,7919,13177,
E07000096,Dacorum,LA,Persons,60-74 yrs,,,2015,59.61918535,58.9497784,60.28503048,12368,20745,
E07000098,Hertsmere,LA,Persons,60-74 yrs,,,2015,54.58175559,53.77094136,55.39014698,7928,14525,
